,ann=0_ztfid,ann=1_ztfid,ann=2_ztfid,ann=3_ztfid,ann=4_ztfid,ann=5_ztfid,ann=6_ztfid,ann=7_ztfid,ann=8_ztfid,ann=9_ztfid,ann=10_ztfid,ann=0_d,ann=1_d,ann=2_d,ann=3_d,ann=4_d,ann=5_d,ann=6_d,ann=7_d,ann=8_d,ann=9_d,ann=10_d,ann=0_has_tns,ann=1_has_tns,ann=2_has_tns,ann=3_has_tns,ann=4_has_tns,ann=5_has_tns,ann=6_has_tns,ann=7_has_tns,ann=8_has_tns,ann=9_has_tns,ann=10_has_tns,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls,ann=10_tns_cls,ann=0_spec_z,ann=1_spec_z,ann=2_spec_z,ann=3_spec_z,ann=4_spec_z,ann=5_spec_z,ann=6_spec_z,ann=7_spec_z,ann=8_spec_z,ann=9_spec_z,ann=10_spec_z
ZTF18abaeqpf,ZTF18abaeqpf,ZTFabc24344,ZTFabc18586,ZTFabc64249,ZTFabc03612,ZTFabc23820,ZTFabc95946,ZTFabc05843,ZTFabc49108,ZTFabc14667,ZTFabc63869,0,6.8676,6.906,6.9601,6.9818,7.0765,7.1325,7.1841,7.2716,7.3172,7.366,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN II,SN Ia,SN II,SN II,SN II,SN II,SN IIn,SN II,SN IIn,SN IIn,SN IIn,0.0475,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acobamg,ZTF20acobamg,ZTF20acrwmno,ZTFabc65924,ZTF21abbgaly,ZTFabc36711,ZTFabc27801,ZTF21aaylydx,ZTFabc17004,ZTF21abvgprv,ZTFabc19758,ZTF21abiwzhj,0,5.5029,6.84,7.1213,7.3443,7.4152,7.451,7.5337,7.592,7.6167,7.6492,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,SN Ia,None,SN Ia,None,SN Ia,SN Ia,None,SN Ia,None,SN Ia,None,0.07,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21acebndp,ZTF21acebndp,ZTF20acjryhf,ZTF21aasruuq,ZTFabc57276,ZTF20acqxgjn,ZTFabc33689,ZTF21aapkiaw,ZTFabc43205,ZTFabc49175,ZTF21aaujakt,ZTFabc27644,0,5.8796,6.0554,6.3227,6.3443,6.3955,6.5395,6.7768,6.8586,6.9667,6.9701,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Yes_TNS,Fake,None,None,None,SN Ia,None,SN Ia,None,SN Ia,SN Ia,SN Ia,SN II,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0818,-99.0
ZTF21aarhgns,ZTF21aarhgns,ZTF21abpoufi,ZTF21aavouex,ZTFabc41281,ZTFabc47422,ZTF21abfyqtx,ZTFabc11863,ZTF18aacnlxz,ZTF21aapfmut,ZTF20acyvwxx,ZTF20actvffz,0,6.0183,6.1534,6.3539,6.4178,6.4537,6.4596,6.5,6.5149,6.5349,6.5393,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,SN II,SN Ia,None,SN II,SN II,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.072475,-99.0,-99.0,-99.0
ZTF21aaxkckg,ZTF21aaxkckg,ZTF20acpkgqd,ZTFabc37159,ZTFabc79728,ZTF18abrfccm,ZTFabc47794,ZTFabc81667,ZTFabc68605,ZTFabc46252,ZTFabc25433,ZTFabc20129,0,4.6504,5.4887,5.6114,5.6303,5.7422,5.7433,5.7461,5.7509,5.7514,5.7545,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,None,SN Ia,SN Ia,SN Ia,SLSN-II,SLSN-II,SLSN-II,SLSN-II,SLSN-II,SLSN-II,0.063,-99.0,-99.0,-99.0,0.1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaeozek,ZTF21aaeozek,ZTF19aacislx,ZTFabc58076,ZTF21aazebgh,ZTF21aaepasp,ZTFabc43205,ZTFabc35498,ZTFabc96635,ZTF20acywefl,ZTFabc00044,ZTFabc03885,0,4.769,5.3158,5.3265,5.337,5.4941,5.5467,5.5865,5.6177,5.9714,6.1165,Yes_TNS,No_TNS,Fake,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Fake,None,None,SN Ia,SN Ia,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,-99.0,-99.0,-99.0,0.076,-99.0,-99.0,-99.0,-99.0,0.058596,-99.0,-99.0
ZTF20acrsubb,ZTF20acrsubb,ZTF21aatwcou,ZTF19aabyuzq,ZTF20acggkic,ZTFabc00445,ZTFabc66412,ZTFabc95091,ZTFabc95040,ZTFabc93777,ZTFabc93956,ZTFabc04475,0,7.3498,8.0545,8.091,8.2292,8.2293,8.2306,8.2393,8.2468,8.2623,8.2661,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,None,None,None,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aarrfgy,ZTF21aarrfgy,ZTF18aawpuhh,ZTF20acuosiq,ZTFabc58599,ZTFabc10083,ZTFabc05638,ZTFabc34849,ZTFabc05449,ZTFabc17154,ZTFabc09946,ZTFabc90721,0,8.0438,8.2561,8.4212,8.4214,8.4214,8.4216,8.4219,8.4227,8.4228,8.44,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,None,None,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaacwom,ZTF21aaacwom,ZTF20acowcee,ZTFabc63467,ZTF21aahhkyb,ZTF21abdwjhp,ZTF19aavipfk,ZTF21aaxxetp,ZTF18abrwqze,ZTF20acpyndh,ZTF21aahjzqz,ZTF21abjqcmb,0,6.8833,6.9433,7.1786,7.4231,7.5183,7.5787,7.627,7.6994,8.3049,8.3524,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,None,SN Ia,SN Ia,None,None,None,None,None,None,None,None,-99.0,0.11,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aciuhqw,ZTF21aciuhqw,ZTFabc32392,ZTFabc32288,ZTFabc77233,ZTFabc30845,ZTFabc12321,ZTFabc30660,ZTFabc59627,ZTFabc42317,ZTFabc85072,ZTFabc60005,0,5.9594,5.9732,5.9809,5.981,5.9982,6.0014,6.0724,6.0757,6.0907,6.0923,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,SN Ic-BL,0.045,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abifrsi,ZTF21abifrsi,ZTF20acpgdir,ZTF21aausvhf,ZTF20acxrixj,ZTF21aazqtor,ZTFabc53214,ZTFabc72617,ZTF21aapguda,ZTF21aaymuyw,ZTFabc11098,ZTFabc11583,0,5.9655,5.9821,6.1411,6.1924,6.2836,6.476,6.6022,6.7014,6.7369,6.8275,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Yes_TNS,Fake,Fake,SN Ia,None,None,None,SN Ia,SN Ia,SN Ia,None,None,SN Ia,SN Ia,0.064,-99.0,-99.0,-99.0,0.0954,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acfasbq,ZTF20acfasbq,ZTFabc52747,ZTF21aawyyha,ZTFabc42448,ZTFabc35876,ZTFabc41222,ZTF21abbzqvv,ZTFabc29406,ZTFabc23378,ZTFabc32933,ZTFabc04211,0,5.1922,5.3727,5.4019,5.4819,5.8284,5.9451,6.1064,6.1065,6.1082,6.1084,Yes_TNS,Fake,Yes_TNS,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,SN Ia-91T-like,0.047,-99.0,0.056,-99.0,-99.0,-99.0,0.076,-99.0,-99.0,-99.0,-99.0
ZTF20acrxuzp,ZTF20acrxuzp,ZTF21abawvdc,ZTF20acihfol,ZTF21aagkzxe,ZTF19aabhqcn,ZTF21aaaokox,ZTF18acwyaws,ZTF21abcprql,ZTF19aaadwfd,ZTFabc29450,ZTFabc39704,0,5.4029,6.4265,7.0653,7.3061,7.4283,7.6042,7.8571,7.9915,8.0741,8.0742,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,None,None,None,None,None,None,None,None,None,SN Ibn,SN Ibn,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aarlbhq,ZTF21aarlbhq,ZTF21aawqqei,ZTF21aarzjfu,ZTF19aarzfoz,ZTF21aatvcwp,ZTF18abscetq,ZTF20actslnz,ZTF18aczdpan,ZTF21aawstzk,ZTF18acnnfup,ZTF21abwufdm,0,6.9088,7.4699,7.5958,7.9202,7.9492,8.0363,8.0693,8.1671,8.1863,8.2028,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21aaksawu,ZTF21aaksawu,ZTF21aanyvnn,ZTF21aaehcma,ZTF18abtptey,ZTF21aayebwx,ZTF18abuxgmk,ZTF18abquxjv,ZTF21aawaggh,ZTF20acvkqxy,ZTF18aawkebe,ZTF21aaldxgp,0,8.1577,8.3805,8.6951,9.2207,9.2726,9.469,9.5677,9.7169,9.7312,9.8001,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,No_TNS,No_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,SN Ia,None,SN Ia,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.074,-99.0,0.063327,-99.0,-99.0
ZTF21abrpdsp,ZTF21abrpdsp,ZTFabc44777,ZTFabc55323,ZTFabc02156,ZTFabc17882,ZTFabc05017,ZTFabc07603,ZTFabc20331,ZTFabc87502,ZTFabc06967,ZTFabc82223,0,5.8704,5.9567,6.3355,6.3458,6.3471,6.4053,6.4062,6.4073,6.4114,6.4344,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,SN Ia,SN Ia,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,SN Ib,0.037404,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acqwtks,ZTF20acqwtks,ZTF21acbhfqb,ZTF20actvpyc,ZTF21aaxtpty,ZTFabc72872,ZTFabc83505,ZTF21aarzrix,ZTF21aareeiq,ZTF21abidyhu,ZTFabc01139,ZTFabc33225,0,4.8795,6.0169,6.1311,6.3797,6.3801,6.4346,6.4959,6.5576,6.5776,6.6699,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,None,None,SN Ia,None,SN Ia,SN Ia,None,None,None,SN Ia,SN Ia,-99.0,-99.0,0.08,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acojxtb,ZTF20acojxtb,ZTFabc26602,ZTF21aaygcnm,ZTF21aaporje,ZTFabc05505,ZTF21aaujuqq,ZTF21aatisro,ZTFabc46626,ZTF20acowuix,ZTFabc48622,ZTFabc48256,0,5.221,5.3209,5.4163,5.4289,5.4498,5.5171,5.5438,5.6561,5.7258,5.8207,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Fake,Fake,SN Ia,SN Ia,None,None,SN Ia,None,None,SN Ia,SN Ia,SN Ia,SN Ia,0.05,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.09,-99.0,-99.0
ZTF20acotwqe,ZTF20acotwqe,ZTF21aaqyenr,ZTF21abcoodb,ZTF18acvggdb,ZTF18aczdpan,ZTF21aaxyglu,ZTF21aamfdqf,ZTFabc98733,ZTF21aaxtshx,ZTF21aagmrly,ZTF20acuoclk,0,7.5944,7.9482,8.0158,8.1386,8.3549,8.4005,8.4356,8.4392,8.4486,8.4811,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,None,None,None,None,None,None,None,SN Ia,None,None,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.082
ZTF20acodpwe,ZTF20acodpwe,ZTF20acoxefz,ZTF21aauaemd,ZTFabc96797,ZTFabc77889,ZTFabc06146,ZTFabc73757,ZTF21absvjjq,ZTFabc49070,ZTFabc41958,ZTFabc58943,0,5.9059,6.2119,6.6956,6.7021,6.7143,6.7192,6.759,6.7665,6.7829,6.7848,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,None,None,None,SN II,SN II,SN II,SN II,None,SN II,SN II,SN II,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abiawat,ZTF21abiawat,ZTF21abyjdbo,ZTF21aagsjsj,ZTF21abcfnqc,ZTF21abctpag,ZTF21aasndtk,ZTF20acqvuwu,ZTF21acimaio,ZTF19aavoqbe,ZTF21abjwlri,ZTF21abvrfgb,0,7.1518,7.2311,7.3391,7.4216,7.571,7.5743,7.7693,8.1165,8.1522,8.1686,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,No_TNS,Yes_TNS,No_TNS,None,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20acpeyoo,ZTF20acpeyoo,ZTFabc72941,ZTFabc58031,ZTFabc90433,ZTFabc54841,ZTF21aavcoxf,ZTFabc60092,ZTFabc71371,ZTFabc37139,ZTFabc74154,ZTFabc54544,0,5.5134,5.6099,5.6565,5.8029,5.8107,5.9085,5.9162,5.9699,6.0013,6.0132,Yes_TNS,Fake,Fake,Fake,Fake,Yes_TNS,Fake,Fake,Fake,Fake,Fake,None,SN Ia,SN Ia,SN Ia,SN Ia,None,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18acurkzx,ZTF18acurkzx,ZTF20acpllaq,ZTF20acxsouh,ZTFabc43425,ZTFabc99866,ZTFabc12729,ZTFabc38837,ZTFabc57325,ZTFabc05447,ZTFabc32611,ZTFabc80179,0,5.0253,5.4061,5.9346,5.9349,5.935,5.935,5.9359,5.9365,5.9366,5.9367,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,None,None,None,SN I,SN I,SN I,SN I,SN I,SN I,SN I,SN I,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF20aczgvrr,ZTF20aczgvrr,ZTFabc75262,ZTF21abhymom,ZTFabc88601,ZTF21abscanv,ZTFabc37615,ZTF21aagtspb,ZTFabc44350,ZTFabc66267,ZTF21aatlfaj,ZTF20acnezne,0,9.9221,10.1354,10.1511,10.3142,10.3908,10.538,10.9109,10.9578,10.9664,11.0863,Yes_TNS,Fake,Yes_TNS,Fake,Yes_TNS,Fake,No_TNS,Fake,Fake,Yes_TNS,Yes_TNS,None,SN II,SN Ia,SN II,None,SN Ia,None,SN II,SN II,None,SN II,-99.0,-99.0,0.08,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.047
ZTF20acnsinb,ZTF20acnsinb,ZTFabc76407,ZTFabc86664,ZTFabc43205,ZTFabc58076,ZTFabc15192,ZTFabc59909,ZTFabc29246,ZTFabc97883,ZTFabc84601,ZTFabc00044,0,3.9323,4.1651,4.4785,4.7063,4.8208,4.8216,4.8291,4.9319,4.9622,4.9657,Yes_TNS,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,Fake,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,SN Ia,0.09,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF21abpvlov,ZTF21abpvlov,ZTF20aazprqk,ZTF21aakizvr,ZTF21abwukag,ZTF21aamssts,ZTF21abasjcd,ZTF21aadrlyg,ZTF20aclgfji,ZTF21acizkdz,ZTF18acbvijf,ZTF18aczzvtw,0,6.4503,6.8178,6.8646,6.9076,6.9572,7.0191,7.0719,7.1004,7.1593,7.1936,Yes_TNS,No_TNS,No_TNS,Yes_TNS,No_TNS,Yes_TNS,No_TNS,Yes_TNS,Yes_TNS,No_TNS,No_TNS,None,None,None,None,None,None,None,None,None,None,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
ZTF18adbadrj,ZTF18adbadrj,ZTF21aaaoszc,ZTF21abedumq,ZTFabc62772,ZTF21abeguum,ZTF21aayooxv,ZTF21aacuujr,ZTF18aaiumgp,ZTF20acjzipj,ZTFabc56212,ZTF18aczeqva,0,6.9482,7.161,7.3065,7.3922,7.4547,7.5185,7.5206,8.0023,8.0263,8.135,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Yes_TNS,Fake,Yes_TNS,None,None,None,SN Ia,None,None,None,None,None,SN Ia,None,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
